Comanche,English,Source
Suakʉtu mabitsia nʉepi tsa kimarui,"Be careful, a tornado is coming.",https://youtu.be/Z6JumTpTmbU?si=UhrxVFVbv0MM6wzJ
Itsa tenahpʉ itsabʉnʉ waʔipʉ.,This is a man and this is a woman.,https://www.facebook.com/watch/?v=454493888593705
Hina tanʉ kahniku hanitui,What can we do at the house?,https://www.facebook.com/CNLanguage/videos/1350555732640497
Ʉrʉi tupitsipʉ̠ʔha takwʉ̠ hibitui,Let’s drink hot chocolate!,https://www.facebook.com/CNLanguage/videos/1849111329231793
Ʉnʉ̠ha tahkatenapʉʔa haniʔai suwaitʉ̠?,Do you want to build a snowman?,https://www.facebook.com/CNLanguage/videos/1785045462250692
Hakai ... nʉmʉ nahniaka̱?,How do you say...in comanche?,https://www.omniglot.com/language/phrases/comanche.htm
Taa nʉmʉpuʔe mabitsiarʉ̠,Respect our traditions,https://www.youtube.com/@CNLanguage/videos
Itʉtsa tsaatabeniʔa nʉhkahaniyu,This is a good day to dance,https://www.youtube.com/@CNLanguage/videos
Oyotabeni tanʉ ʉkʉsuabetaiʔetʉ̠,Everyday we are learning new things.,https://www.youtube.com/@CNLanguage/videos
Nʉnʉ̠se taanahnʉmʉnʉʉʔa nʉhkakʉrʉ,We dance for our People,https://www.youtube.com/@CNLanguage/videos
Sihkatabeni tanʉ taanʉmʉnʉʉʔaʔnani̠sutaikʉrʉ̠,We are praying for our Comanche people today.,https://www.youtube.com/@CNLanguage/videos
Siika tukani̠ tomoyaketʉ tsa piayaketʉ̠,Tonight the thunder is loud.,https://www.youtube.com/@CNLanguage/videos
Taa Piaʔa Sokobi tsa nani̠suyaketʉ̠,Our Mother Earth is beautiful,https://www.youtube.com/@CNLanguage/videos
"Nʉse nʉ nʉmʉ̠, na tsaa nabanaʔitʉ",I'm proud to be Comanche,https://www.youtube.com/@CNLanguage/videos
Tsaa nʉ nʉʉsukatʉ sʉʉmaʔaitʉ,I am happy we are together,https://www.youtube.com/@CNLanguage/videos
Takaʉmapʉ̠ʔa nʉ nasuyaketʉ̠,I wish for snow,https://www.youtube.com/@CNLanguage/videos
Sikatabeniʔtsa tʉbitsi ʉtsʉitʉ̠,It is really cold today,https://www.youtube.com/@CNLanguage/videos
Ʉnʉ̠ha ʉwahimaʔaʔhuupiʔa tsakarʉkʉnʉ̠?,Did you put up your Christmas tree?,https://www.youtube.com/@CNLanguage/videos
Keta ʉyuʔa̠kwasuʔa nasuwatsi,Don’t forget your coat,https://www.youtube.com/@CNLanguage/videos